Index,Name,Type,Category,PP,Power,Accuracy,Desc,Link
10,ViseGrip,Normal,Physical,30,55,1.0,Vise Grip (Japanese: はさむ Clamp); spelled ViceGrip from Generations I to V and Vice Grip from Generations VI to VII; is a damage-dealing Normal-type move introduced in Generation I. Vise Grip inflicts damage and has no secondary effect.,https://bulbapedia.bulbagarden.net/wiki/Vise_Grip_(move),visegrip
11,Guillotine,Normal,Physical,5,0,0.3,Guillotine (Japanese: ハサミギロチン Pincer Guillotine) is a Normal-type one-hit knockout move introduced in Generation I. Guillotine always inflicts exactly 65535 HP damage if it hits. Its accuracy is 30%. Guillotine will break a substitute if it hits.,https://bulbapedia.bulbagarden.net/wiki/Guillotine_(move),guillotine
12,RazorWind,Normal,Special,10,80,1.0,"Razor Wind (Japanese: かまいたち Razor Wind) is a damage-dealing Normal-type move introduced in Generation I. It is TM02 in Generation I. Razor Wind does nothing on the turn it is selected; other than saying ""<Pokémon> made a whirlwind!"". On the following turn; Razor Wind inflicts damage; PP is deducted; and it will count as the last move used. Once Razor Wind is selected; the user will be unable to switch out until Razor Wind has been disrupted or fully executed. Razor Wind has 75% accuracy.",https://bulbapedia.bulbagarden.net/wiki/Razor_Wind_(move),razorwind
13,SwordsDance,Normal,Status,20,0,0,Swords Dance (Japanese: つるぎのまい Swords Dance) is a non-damaging Normal-type move introduced in Generation I. Swords Dance increases the user's Attack stat by two stages.,https://bulbapedia.bulbagarden.net/wiki/Swords_Dance_(move),swordsdance
14,Cut,Normal,Physical,30,50,0.95,Cut (Japanese: いあいぎり Iai Cut) is a damage-dealing Normal-type move introduced in Generation I. It is HM01 in Generations I through VI; and TM93 in Pokémon Brilliant Diamond and Shining Pearl. Cut inflicts damage and has no secondary effect.,https://bulbapedia.bulbagarden.net/wiki/Cut_(move),cut
15,Gust,Flying,Special,35,40,1.0,Gust (Japanese: かぜおこし Stir Up Wind) is a damage-dealing Flying-type move introduced in Generation I. Prior to Generation II; it was a Normal-type move. Gust deals damage and has no secondary effect.,https://bulbapedia.bulbagarden.net/wiki/Gust_(move),gust
16,WingAttack,Flying,Physical,35,60,1.0,Wing Attack (Japanese: つばさでうつ Wing Strike) is a damage-dealing Flying-type move introduced in Generation I. Wing Attack inflicts damage and has no secondary effect. It has a power of 35.,https://bulbapedia.bulbagarden.net/wiki/Wing_Attack_(move),wingattack
17,Whirlwind,Normal,Status,20,0,0,Whirlwind (Japanese: ふきとばし Blow Away) is a non-damaging Normal-type move introduced in Generation I. It is TM04 in Generation I. If Whirlwind is successfully used in a wild Pokémon battle by either Pokémon; the battle will automatically end. In a Trainer battle; Whirlwind has no effect. Whirlwind has 85% accuracy and normal priority.,https://bulbapedia.bulbagarden.net/wiki/Whirlwind_(move),whirlwind
18,Fly,Flying,Physical,15,90,0.95,Fly (Japanese: そらをとぶ Fly) is a damage-dealing Flying-type move introduced in Generation I. On the turn that Fly is selected; the user will fly up high and become semi-invulnerable; where the only attacks it cannot avoid are Bide and Swift. On the following turn; Fly will inflict damage; PP will be deducted from it; and it will count as the last move used. Once Fly is selected; the user will be unable to switch out unless Fly is disrupted or fully executed.,https://bulbapedia.bulbagarden.net/wiki/Fly_(move),fly
19,Bind,Normal,Physical,20,15,0.85,Bind (Japanese: しめつける Bind) is a damage-dealing Normal-type move introduced in Generation I. Bind does damage for 2-5 turns. There is a 37.5% chance that it will attack for 2 turns; a 37.5% chance that it will attack for 3 turns; a 12.5% chance that it will attack for 4 turns; and a 12.5% chance that it will attack for 5 turns. Though technically only the first attack can score a critical hit; every attack during the duration will do the same amount of damage. During this turn duration; the target will be unable to attack; and if the user of Bind attacks before the target when used; the target will be unable to attack during that round as well.,https://bulbapedia.bulbagarden.net/wiki/Bind_(move),bind
20,Slam,Normal,Physical,20,80,0.75,Slam (Japanese: たたきつける Slam) is a damage-dealing Normal-type move introduced in Generation I. Slam inflicts damage and has no secondary effect.,https://bulbapedia.bulbagarden.net/wiki/Slam_(move),slam
21,VineWhip,Grass,Physical,25,45,1.0,Vine Whip (Japanese: つるのムチ Vine Whip) is a damage-dealing Grass-type move introduced in Generation I. Vine Whip inflicts damage and has no secondary effect. Its PP is 10; and it has a power of 35.,https://bulbapedia.bulbagarden.net/wiki/Vine_Whip_(move),vinewhip
22,Stomp,Normal,Physical,20,65,1.0,Stomp (Japanese: ふみつけ Trample) is a damage-dealing Normal-type move introduced in Generation I. Stomp inflicts damage and has a 30% chance of causing the target to flinch.,https://bulbapedia.bulbagarden.net/wiki/Stomp_(move),stomp
23,DoubleKick,Fighting,Physical,30,30,1.0,Double Kick (Japanese: にどげり Double Kick) is a damage-dealing Fighting-type multi-strike move introduced in Generation I. Double Kick inflicts damage; hitting the target twice per use. Although only the first strike can be a critical hit; the second one will deal the same amount of damage.,https://bulbapedia.bulbagarden.net/wiki/Double_Kick_(move),doublekick
24,MegaKick,Normal,Physical,5,120,0.75,Mega Kick (Japanese: メガトンキック Megaton Kick) is a damage-dealing Normal-type move introduced in Generation I. It is TM05 in Generation I and TM01 in Pokémon Sword and Shield. Prior to Generation II; it was the signature move of Hitmonlee. Mega Kick deals damage and has no secondary effect.,https://bulbapedia.bulbagarden.net/wiki/Mega_Kick_(move),megakick
25,JumpKick,Fighting,Physical,10,100,0.95,Jump Kick (Japanese: とびげり Dropkick) is a damage-dealing Fighting-type move introduced in Generation I. Prior to Generation IV; it was one of the signature moves of Hitmonlee. Jump Kick does damage with a power of 70. If it misses; the user will take crash damage of 1 HP. If used against a Ghost-type; it always counts as a miss.,https://bulbapedia.bulbagarden.net/wiki/Jump_Kick_(move),jumpkick
26,RollingKick,Fighting,Physical,15,60,0.85,Rolling Kick (Japanese: まわしげり Roundhouse Kick) is a damage-dealing Fighting-type move introduced in Generation I. Prior to Generation VII; it was the signature move of Hitmonlee and Hitmontop. Rolling Kick does damage and has a 30% chance of causing the target to flinch.,https://bulbapedia.bulbagarden.net/wiki/Rolling_Kick_(move),rollingkick
27,SandAttack,Ground,Status,15,0,1.0,Sand Attack (Japanese: すなかけ Sand Attack); formatted as Sand-Attack prior to Pokémon X and Y; is a non-damaging Ground-type move introduced in Generation I. Prior to Generation II; it was a Normal-type move. Sand Attack decreases the target's accuracy stat by one stage. Sand Attack is a Normal-type move in this generation.,https://bulbapedia.bulbagarden.net/wiki/Sand_Attack_(move),sandattack
28,Headbutt,Normal,Physical,15,70,1.0,Headbutt (Japanese: ずつき Headbutt) is a damage-dealing Normal-type move introduced in Generation I. It was TM02 in Generation II and TM01 in Pokémon: Let's Go; Pikachu! and Let's Go; Eevee!. Headbutt does damage and has a 30% chance of causing the target to flinch.,https://bulbapedia.bulbagarden.net/wiki/Headbutt_(move),headbutt
29,HornAttack,Normal,Physical,25,65,1.0,Horn Attack (Japanese: つのでつく Horn Thrust) is a damage-dealing Normal-type move introduced in Generation I. Horn Attack deals damage and has no secondary effect.,https://bulbapedia.bulbagarden.net/wiki/Horn_Attack_(move),hornattack
30,FuryAttack,Normal,Physical,20,15,0.85,Fury Attack (Japanese: みだれづき Disturbed Stab) is a damage-dealing Normal-type multi-strike move introduced in Generation I. Fury Attack inflicts damage; hitting the target 2-5 times per use. There is a 37.5% chance that it will hit 2 times; a 37.5% chance that it will hit 3 times; a 12.5% chance that it will hit 4 times; and a 12.5% chance that it will hit 5 times. Although only the first strike can be a critical hit; each successive one will deal the same amount of damage.,https://bulbapedia.bulbagarden.net/wiki/Fury_Attack_(move),furyattack
31,HornDrill,Normal,Physical,5,0,0.3,Horn Drill (Japanese: つのドリル Horn Drill) is a Normal-type one-hit knockout move introduced in Generation I. It is TM07 in Generation I. Horn Drill always inflicts exactly 65535 HP damage if it hits. Its accuracy is 30%. Horn Drill will break a substitute if it hits.,https://bulbapedia.bulbagarden.net/wiki/Horn_Drill_(move),horndrill
32,Tackle,Normal,Physical,35,40,1.0,Tackle (Japanese: たいあたり Body Blow) is a damage-dealing Normal-type move introduced in Generation I. Tackle deals damage and has no secondary effect.,https://bulbapedia.bulbagarden.net/wiki/Tackle_(move),tackle
33,BodySlam,Normal,Physical,15,85,1.0,Body Slam (Japanese: のしかかり Lean On) is a damage-dealing Normal-type move introduced in Generation I. It was TM08 in Generation I; TR01 in Generation VIII; and is TM066 in Generation IX. Body Slam inflicts damage and has a 30% chance of paralyzing the target. It cannot paralyze Normal-type Pokémon.,https://bulbapedia.bulbagarden.net/wiki/Body_Slam_(move),bodyslam
34,Wrap,Normal,Physical,20,15,0.9,"Wrap (Japanese: まきつく Wrap Around) is a damage-dealing Normal-type move introduced in Generation I. Wrap inflicts damage for 2-5 turns. There is a 37.5% chance that it will attack for 2 turns; a 37.5% chance that it will attack for 3 turns; a 12.5% chance that it will attack for 4 turns; and a 12.5% chance that it will attack for 5 turns. Though technically only the first attack can critical hit; every attack during the duration will do the same amount of damage. During this turn duration; the target will be unable to attack; and if the user of Wrap attacks before the target when used; the target will be unable to attack during that round as well. While it's inflicting damage; the text ""<Pokémon>'s attack continues!"" appears.",https://bulbapedia.bulbagarden.net/wiki/Wrap_(move),wrap
35,TakeDown,Normal,Physical,20,90,0.85,Take Down (Japanese: とっしん Charge) is a damage-dealing Normal-type move introduced in Generation I. It was TM09 in Generation I; and is TM001 in Generation IX. Take Down inflicts damage; and the user receives recoil damage equal to ¼ of the damage done to the target.,https://bulbapedia.bulbagarden.net/wiki/Take_Down_(move),takedown
36,Thrash,Normal,Physical,10,120,1.0,Thrash (Japanese: あばれる Violent Struggle) is a damage-dealing Normal-type move introduced in Generation I. Thrash inflicts damage for 3-4 turns; has a base power of 90; and 20 PP. PP is deducted only on the turn Thrash is first called. Once called; even if the move misses; the user will only be able to use Thrash; and will not be able to switch out. After Thrash is finished; the user becomes confused; due to fatigue.,https://bulbapedia.bulbagarden.net/wiki/Thrash_(move),thrash
37,DoubleEdge,Normal,Physical,15,120,1.0,Double-Edge (Japanese: すてみタックル Life-Risking Tackle) is a damage-dealing Normal-type move introduced in Generation I. It was TM10 in Generation I. Double-Edge inflicts damage; and the user receives recoil damage equal to ¼ of the damage done to the target.,https://bulbapedia.bulbagarden.net/wiki/Double-Edge_(move),doubleedge
38,TailWhip,Normal,Status,30,0,1.0,Tail Whip (Japanese: しっぽをふる Tail Wag) is a non-damaging Normal-type move introduced in Generation I. Tail Whip decreases the Defense stat of all adjacent opponents by one stage.,https://bulbapedia.bulbagarden.net/wiki/Tail_Whip_(move),tailwhip
39,PoisonSting,Poison,Physical,35,15,1.0,Poison Sting (Japanese: どくばり Poison Needle) is a damage-dealing Poison-type move introduced in Generation I. Poison Sting does damage and has a 20% chance of poisoning the target.,https://bulbapedia.bulbagarden.net/wiki/Poison_Sting_(move),poisonsting
40,Twineedle,Bug,Physical,20,25,1.0,Twineedle (Japanese: ダブルニードル Double Needle) is a damage-dealing Bug-type multi-strike move introduced in Generation I. Prior to Generation V; it was the signature move of Beedrill. Twineedle inflicts damage; hitting the target twice per use. The second strike has a 20% chance of poisoning the target; unless the target is Poison-type. Although only the first strike can be a critical hit; the second one will deal the same amount of damage.,https://bulbapedia.bulbagarden.net/wiki/Twineedle_(move),twineedle
41,PinMissile,Bug,Physical,20,25,0.95,Pin Missile (Japanese: ミサイルばり Missile Needle) is a damage-dealing Bug-type multi-strike move introduced in Generation I. It was TM07 in Pokémon Sword and Shield. Pin Missile inflicts damage; hitting the target 2-5 times per use. There is a 37.5% chance that it will hit 2 times; a 37.5% chance that it will hit 3 times; a 12.5% chance that it will hit 4 times; and a 12.5% chance that it will hit 5 times. Although only the first strike can be a critical hit; each successive one will deal the same amount of damage.,https://bulbapedia.bulbagarden.net/wiki/Pin_Missile_(move),pinmissile
42,Leer,Normal,Status,30,0,1.0,Leer (Japanese: にらみつける Glare) is a non-damaging Normal-type move introduced in Generation I. Leer decreases the Defense stat of all adjacent opponents by one stage.,https://bulbapedia.bulbagarden.net/wiki/Leer_(move),leer
43,Bite,Dark,Physical,25,60,1.0,Bite (Japanese: かみつく Bite) is a damage-dealing Dark-type move introduced in Generation I. Prior to Generation II; it was a Normal-type move. Bite is a Normal-type move in this generation.,https://bulbapedia.bulbagarden.net/wiki/Bite_(move),bite
44,Growl,Normal,Status,40,0,1.0,Growl (Japanese: なきごえ Cry) is a non-damaging Normal-type move introduced in Generation I. Growl decreases the Attack stat of all adjacent opponents by one stage. It does not affect Pokémon with the Abilities Soundproof; Hyper Cutter; Clear Body; White Smoke; or Full Metal Body.,https://bulbapedia.bulbagarden.net/wiki/Growl_(move),growl
45,Roar,Normal,Status,20,0,0,Roar (Japanese: ほえる Roar) is a non-damaging Normal-type move introduced in Generation I. It is TM05 from Generation II to Pokémon Ultra Sun and Ultra Moon and in Pokémon Brilliant Diamond and Shining Pearl. If Roar is successfully used in a wild Pokémon battle by either Pokémon; the battle will automatically end. In a Trainer battle; Roar has no effect. Roar has 100% accuracy and normal priority.,https://bulbapedia.bulbagarden.net/wiki/Roar_(move),roar
46,Sing,Normal,Status,15,0,0.55,Sing (Japanese: うたう Sing) is a non-damaging Normal-type move introduced in Generation I. Sing puts the target to sleep. In the handheld games only; Sing can affect a target behind a substitute.,https://bulbapedia.bulbagarden.net/wiki/Sing_(move),sing
47,Supersonic,Normal,Status,20,0,0.55,Supersonic (Japanese: ちょうおんぱ Ultrasound) is a non-damaging Normal-type move introduced in Generation I. Supersonic causes the target to become confused. Supersonic will fail if the target has a substitute; is already confused; or has the Ability Soundproof or Own Tempo.,https://bulbapedia.bulbagarden.net/wiki/Supersonic_(move),supersonic
48,SonicBoom,Normal,Special,20,0,0.9,Sonic Boom (Japanese: ソニックブーム Sonic Boom); formatted as SonicBoom prior to Pokémon X and Y; is a damage-dealing Normal-type move introduced in Generation I. Sonic Boom always inflicts exactly 20 damage if it hits. It has no secondary effects and does not take weaknesses or resistances into account. SonicBoom is not affected by type immunities; so it can hit Ghost-type Pokémon.,https://bulbapedia.bulbagarden.net/wiki/Sonic_Boom_(move),sonicboom
49,Disable,Normal,Status,20,0,1.0,Disable (Japanese: かなしばり Temporary Binding) is a non-damaging Normal-type move introduced in Generation I. Disable temporarily prevents the target from using a specific move.,https://bulbapedia.bulbagarden.net/wiki/Disable_(move),disable
50,Acid,Poison,Special,30,40,1.0,Acid (Japanese: ようかいえき Corrosive Liquid) is a damage-dealing Poison-type move introduced in Generation I. Acid inflicts damage and has a 33.2% chance of lowering the target's Defense stat by one stage.,https://bulbapedia.bulbagarden.net/wiki/Acid_(move),acid
51,Ember,Fire,Special,25,40,1.0,Ember (Japanese: ひのこ Sparks) is a damage-dealing Fire-type move introduced in Generation I. Ember deals damage and has a 10% chance of burning the target.,https://bulbapedia.bulbagarden.net/wiki/Ember_(move),ember
52,Flamethrower,Fire,Special,15,90,1.0,Flamethrower (Japanese: かえんほうしゃ Flamethrower) is a damage-dealing Fire-type move introduced in Generation I. Flamethrower does damage and has a 10% chance of burning the target.,https://bulbapedia.bulbagarden.net/wiki/Flamethrower_(move),flamethrower
53,Mist,Ice,Status,30,0,0,Mist (Japanese: しろいきり White Mist) is a non-damaging Ice-type move introduced in Generation I. Mist protects the user from having its stats decreased by opponents' status moves until the user switches out. Damaging moves that lower the target's stats as a side effect; such as Acid or Psychic; can still decrease the Pokémon's stats.,https://bulbapedia.bulbagarden.net/wiki/Mist_(move),mist
54,WaterGun,Water,Special,25,40,1.0,Water Gun (Japanese: みずでっぽう Water Gun) is a damage-dealing Water-type move introduced in Generation I. It is TM12 in Generation I. Water Gun inflicts damage and has no secondary effect.,https://bulbapedia.bulbagarden.net/wiki/Water_Gun_(move),watergun
55,HydroPump,Water,Special,5,110,0.8,Hydro Pump (Japanese: ハイドロポンプ Hydro Pump) is a damage-dealing Water-type move introduced in Generation I. It was TR03 in Pokémon Sword and Shield; and is TM142 in Generation IX. Hydro Pump inflicts damage and has no secondary effect.,https://bulbapedia.bulbagarden.net/wiki/Hydro_Pump_(move),hydropump
56,Surf,Water,Special,15,90,1.0,Surf (Japanese: なみのり Surfing) is a damage-dealing Water-type move introduced in Generation I. Surf inflicts damage.,https://bulbapedia.bulbagarden.net/wiki/Surf_(move),surf
57,IceBeam,Ice,Special,10,90,1.0,Ice Beam (Japanese: れいとうビーム Freezing Beam) is a damage-dealing Ice-type move introduced in Generation I. Ice Beam inflicts damage and has a 10% chance of freezing the target,https://bulbapedia.bulbagarden.net/wiki/Ice_Beam_(move),icebeam
58,Blizzard,Ice,Special,5,110,0.7,Blizzard (Japanese: ふぶき Blizzard) is a damage-dealing Ice-type move introduced in Generation I. Blizzard does damage and has a 10% chance of freezing the target. It has an accuracy of 90% in Generation I.,https://bulbapedia.bulbagarden.net/wiki/Blizzard_(move),blizzard
59,Psybeam,Psychic,Special,20,65,1.0,Psybeam (Japanese: サイケこうせん Psyche-beam) is a damage-dealing Psychic-type move introduced in Generation I. It is TM016 in Generation IX. Psybeam does damage and has a 10% chance of confusing the target.,https://bulbapedia.bulbagarden.net/wiki/Psybeam_(move),psybeam
60,BubbleBeam,Water,Special,20,65,1.0,Bubble Beam (Japanese: バブルこうせん Bubble Beam); formatted as BubbleBeam prior to Pokémon X and Y; is a damage-dealing Water-type move introduced in Generation I. It was TM11 in Generation I. BubbleBeam does damage and has a 33.2% chance of lowering the target's Speed stat by one stage.,https://bulbapedia.bulbagarden.net/wiki/Bubble_Beam_(move),bubblebeam
61,AuroraBeam,Ice,Special,20,65,1.0,Aurora Beam (Japanese: オーロラビーム Aurora Beam) is a damage-dealing Ice-type move introduced in Generation I. Aurora Beam does damage and has an 85/256 (~33.2%) chance of lowering the target's Attack stat by one stage.,https://bulbapedia.bulbagarden.net/wiki/Aurora_Beam_(move),aurorabeam
62,HyperBeam,Normal,Special,5,150,0.9,Hyper Beam (Japanese: はかいこうせん Destruction Beam) is a damage-dealing Normal-type move introduced in Generation I. Hyper Beam inflicts damage. A recharge turn is required on the turn after damage is done; during which no action may be performed.,https://bulbapedia.bulbagarden.net/wiki/Hyper_Beam_(move),hyperbeam
63,Peck,Flying,Physical,35,35,1.0,Peck (Japanese: つつく Peck) is a damage-dealing Flying-type move introduced in Generation I. Peck inflicts damage and can hit non-adjacent opponents in Triple Battles.,https://bulbapedia.bulbagarden.net/wiki/Peck_(move),peck
64,DrillPeck,Flying,Physical,20,80,1.0,Drill Peck (Japanese: ドリルくちばし Drill Beak) is a damage-dealing Flying-type move introduced in Generation I. Drill Peck inflicts damage and has no secondary effect. It can hit non-adjacent opponents in Triple Battles.,https://bulbapedia.bulbagarden.net/wiki/Drill_Peck_(move),drillpeck
65,Submission,Fighting,Physical,20,80,0.8,Submission (Japanese: じごくぐるま Hell Wheel) is a damage-dealing Fighting-type move introduced in Generation I. It was TM17 in Generation I. Submission does damage; and the user receives recoil damage equal to 25% of the damage done to the target.,https://bulbapedia.bulbagarden.net/wiki/Submission_(move),submission
66,LowKick,Fighting,Physical,20,0,1.0,Low Kick (Japanese: けたぐり Kick Down) is a damage-dealing Fighting-type move introduced in Generation I. It was TR07 in Pokémon Sword and Shield; and is TM012 in Generation IX. Low Kick has a power of 50; an accuracy of 90%; and has a 30% chance of causing the target to flinch.,https://bulbapedia.bulbagarden.net/wiki/Low_Kick_(move),lowkick
67,Counter,Fighting,Physical,20,0,1.0,Counter (Japanese: カウンター Counter) is a damage-dealing Fighting-type move introduced in Generation I. It was TM18 in Generation I. If the last amount of damage done before the use of Counter is greater than 0 and was dealt by a Normal-type or Fighting-type attack (except Counter); Counter will do twice as much damage to the opponent. Otherwise; Counter misses.,https://bulbapedia.bulbagarden.net/wiki/Counter_(move),counter
68,SeismicToss,Fighting,Physical,20,0,1.0,Seismic Toss (Japanese: ちきゅうなげ Earth Throw) is a damage-dealing Fighting-type move introduced in Generation I. It was TM19 in Generation I and TM15 in Pokémon: Let's Go; Pikachu! and Let's Go; Eevee!. Seismic Toss inflicts damage equal to the user's level.,https://bulbapedia.bulbagarden.net/wiki/Seismic_Toss_(move),seismictoss
69,Strength,Normal,Physical,15,80,1.0,Strength (Japanese: かいりき Super Strength) is a damage-dealing Normal-type move introduced in Generation I. It is HM04 in Generations I through VI; and TM96 in Pokémon Brilliant Diamond and Shining Pearl. In Generation VII; it was the signature move of Machamp. Strength inflicts damage and has no secondary effect.,https://bulbapedia.bulbagarden.net/wiki/Strength_(move),strength
70,Absorb,Grass,Special,25,20,1.0,Absorb (Japanese: すいとる Absorb) is a damage-dealing Grass-type move introduced in Generation I. Absorb inflicts damage; and up to 50% of the damage dealt to the target is restored to the user as HP. If this attack deals 1 HP of damage; 1 HP will be restored to the user.,https://bulbapedia.bulbagarden.net/wiki/Absorb_(move),absorb
71,MegaDrain,Grass,Special,15,40,1.0,Mega Drain (Japanese: メガドレイン Mega Drain) is a damage-dealing Grass-type move introduced in Generation I. It is TM21 in Generation I and TM53 in Pokémon: Let's Go; Pikachu! and Let's Go; Eevee!. Mega Drain inflicts damage; and up to 50% of the damage dealt to the target is restored to the user as HP. If this attack deals 1 HP of damage; 1 HP will be restored to the user.,https://bulbapedia.bulbagarden.net/wiki/Mega_Drain_(move),megadrain
72,LeechSeed,Grass,Status,10,0,0.9,Leech Seed (Japanese: やどりぎのタネ Mistletoe Seed) is a non-damaging Grass-type move introduced in Generation I. Leech Seed plants a seed on the target.,https://bulbapedia.bulbagarden.net/wiki/Leech_Seed_(move),leechseed
73,Growth,Normal,Status,20,0,0,Growth (Japanese: せいちょう Growth) is a non-damaging Normal-type move introduced in Generation I. Growth increases the user's Special stat by one stage.,https://bulbapedia.bulbagarden.net/wiki/Growth_(move),growth
74,RazorLeaf,Grass,Physical,25,55,0.95,Razor Leaf (Japanese: はっぱカッター Leaf Cutter) is a damage-dealing Grass-type move introduced in Generation I. Razor Leaf deals damage and has an increased critical hit ratio.,https://bulbapedia.bulbagarden.net/wiki/Razor_Leaf_(move),razorleaf
75,SolarBeam,Grass,Special,10,120,1.0,Solar Beam (Japanese: ソーラービーム Solar Beam); formatted as SolarBeam prior to Pokémon X and Y; is a damage-dealing Grass-type move introduced in Generation I. It was TM22 from Generation I to Pokémon Ultra Sun and Ultra Moon as well as in Pokémon Brilliant Diamond and Shining Pearl; TM45 in Pokémon Let's Go; Pikachu! and Let's Go; Eevee!; TM11 in Pokémon Sword and Shield; and is TM168 in Generation IX. SolarBeam does nothing on the turn it is selected; other than state that the user has taken in sunlight. On the following turn; SolarBeam will inflict damage; PP will be deducted from it; and it will count as the last move used. Once SolarBeam is selected; the user will not be able to switch out until it is disrupted or fully executed.,https://bulbapedia.bulbagarden.net/wiki/Solar_Beam_(move),solarbeam
76,PoisonPowder,Poison,Status,35,0,0.75,Poison Powder (Japanese: どくのこな PoisonPowder); formatted as PoisonPowder prior to Pokémon X and Y; is a non-damaging Poison-type move introduced in Generation I. PoisonPowder poisons the target. Poison- and Steel-type Pokémon are unaffected by PoisonPowder. It also does not affect targets with Immunity as their Ability.,https://bulbapedia.bulbagarden.net/wiki/Poison_Powder_(move),poisonpowder
77,StunSpore,Grass,Status,30,0,0.75,Stun Spore (Japanese: しびれごな Numbing Powder) is a non-damaging Grass-type move introduced in Generation I. Stun Spore paralyzes the target. Stun Spore cannot affect targets with Limber as their Ability.,https://bulbapedia.bulbagarden.net/wiki/Stun_Spore_(move),stunspore
78,SleepPowder,Grass,Status,15,0,0.75,Sleep Powder (Japanese: ねむりごな Sleep Powder) is a non-damaging Grass-type move introduced in Generation I. Sleep Powder puts the target to sleep. Sleep Powder cannot affect targets with Insomnia; Vital Spirit or Sap Sipper as their Ability.,https://bulbapedia.bulbagarden.net/wiki/Sleep_Powder_(move),sleeppowder
79,PetalDance,Grass,Special,10,120,1.0,Petal Dance (Japanese: はなびらのまい Petal Dance) is a damage-dealing Grass-type move introduced in Generation I. Prior to Generation II; it was the signature move of Oddish's evolutionary line. Petal Dance inflicts damage for 3-4 turns; has a base power of 70; and 20 PP. PP is deducted only on the turn Petal Dance is first called. Once called; even if the move misses; the user will only be able to use Petal Dance; and will not be able to switch out. After Petal Dance is finished; the user becomes confused; due to fatigue.,https://bulbapedia.bulbagarden.net/wiki/Petal_Dance_(move),petaldance
